name,country,title_name,revision_id,article_quality,region,population,region
Farida Kuchi,Afghanistan,Farida Kuchi,1109436134,Stub,SOUTH ASIA,41.1,SOUTH ASIA
Baran Khan Kudezai,Afghanistan,Baran Khan Kudezai,1106151353,Start,SOUTH ASIA,41.1,SOUTH ASIA
Baran Khan Kudezai,Afghanistan,Baran Khan Kudezai,1106151353,Stub,SOUTH ASIA,41.1,SOUTH ASIA
Azizullah Lodin,Afghanistan,Azizullah Lodin,1102817004,Start,SOUTH ASIA,41.1,SOUTH ASIA
Azizullah Lodin,Afghanistan,Azizullah Lodin,1102817004,Start,SOUTH ASIA,41.1,SOUTH ASIA
Razaq Mamoon,Afghanistan,Razaq Mamoon,1100189662,Start,SOUTH ASIA,41.1,SOUTH ASIA
Razaq Mamoon,Afghanistan,Razaq Mamoon,1100189662,C,SOUTH ASIA,41.1,SOUTH ASIA
Fazel Ahmed Manawi,Afghanistan,Fazel Ahmed Manawi,1106464575,Stub,SOUTH ASIA,41.1,SOUTH ASIA
Fazel Ahmed Manawi,Afghanistan,Fazel Ahmed Manawi,1106464575,Stub,SOUTH ASIA,41.1,SOUTH ASIA
Moeen Marastial,Afghanistan,Moeen Marastial,1102907176,Start,SOUTH ASIA,41.1,SOUTH ASIA
Moeen Marastial,Afghanistan,Moeen Marastial,1102907176,Stub,SOUTH ASIA,41.1,SOUTH ASIA
Ahmad Massoud,Afghanistan,Ahmad Massoud,1112608262,C,SOUTH ASIA,41.1,SOUTH ASIA
Ahmad Massoud,Afghanistan,Ahmad Massoud,1112608262,Stub,SOUTH ASIA,41.1,SOUTH ASIA
Ahmad Wali Massoud,Afghanistan,Ahmad Wali Massoud,1108236868,Start,SOUTH ASIA,41.1,SOUTH ASIA
Ahmad Wali Massoud,Afghanistan,Ahmad Wali Massoud,1108236868,Start,SOUTH ASIA,41.1,SOUTH ASIA
Mohammad Daud Miraki,Afghanistan,Mohammad Daud Miraki,1112192884,C,SOUTH ASIA,41.1,SOUTH ASIA
Mohammad Daud Miraki,Afghanistan,Mohammad Daud Miraki,1112192884,Stub,SOUTH ASIA,41.1,SOUTH ASIA
Abdul Sattar Mirzakwal,Afghanistan,Abdul Sattar Mirzakwal,1044450376,Stub,SOUTH ASIA,41.1,SOUTH ASIA
Abdul Sattar Mirzakwal,Afghanistan,Abdul Sattar Mirzakwal,1044450376,Stub,SOUTH ASIA,41.1,SOUTH ASIA
Abdul Karim Misaq,Afghanistan,Abdul Karim Misaq,1052669338,Stub,SOUTH ASIA,41.1,SOUTH ASIA
Abdul Karim Misaq,Afghanistan,Abdul Karim Misaq,1052669338,Start,SOUTH ASIA,41.1,SOUTH ASIA
Ali Mohammad (politician),Afghanistan,Ali Mohammad (politician),1050463798,Stub,SOUTH ASIA,41.1,SOUTH ASIA
Ali Mohammad (politician),Afghanistan,Ali Mohammad (politician),1050463798,Start,SOUTH ASIA,41.1,SOUTH ASIA
Nasruddin Mohseni,Afghanistan,Nasruddin Mohseni,1095044526,Start,SOUTH ASIA,41.1,SOUTH ASIA
Nasruddin Mohseni,Afghanistan,Nasruddin Mohseni,1095044526,Stub,SOUTH ASIA,41.1,SOUTH ASIA
Davood Moradian,Afghanistan,Davood Moradian,1106284627,Stub,SOUTH ASIA,41.1,SOUTH ASIA
