,title,lastrevid
59054318,Mohamed Elias Mesli,1009461580.0
52461596,Azzedine Mihoubi,1031600815.0
59103471,Cherif Rahmani,1053461144.0
69509983,Naima Salhi,1113203380.0
57325817,Guillem d'Areny-Plandolit,1100710928.0
66250362,Guillem Areny,1101200095.0
63134257,Joan Armengol,1105550472.0
63104127,Francesc Badia Batalla,1102180575.0
62451945,Josep Maria Beal,1104772844.0
67267060,Climent Palmitjavila,1102731108.0
66516001,Antoni Puigdellívol,1100253414.0
11768546,Òscar Ribas Reig,1105529195.0
1471309,Boris Skossyreff,1114575861.0
61488411,Enric Tarrado Vives,986671433.0
59160194,Alexandre Sebastião André,979043156.0
59125098,Isaac Maria dos Anjos,1087791055.0
71062546,Paulino Baptista,1098277989.0
71062166,João Baptista Borges,1108136082.0
70373382,Branca Manuel Espirito Santo,1082903108.0
59144106,André Luís Brandão,1092527809.0
59225093,André Gaspar Mendes de Carvalho,871672690.0
35728776,Carolina Cerqueira,1081277226.0
66494161,Arlete Chimbinda,1101656146.0
14941379,Kafundanga Chingunji,1111470901.0
7182495,Jeremias Chitunda,1076646666.0
2911041,Abel Chivukuvuku,987997249.0
59146803,Adalberto Costa Júnior,1107102259.0
67009617,Adjany Costa,1081302172.0
59124706,Álvaro Arnaldo Craveiro,1112653739.0
67613741,Raul Danda,1099408586.0
59144168,Carlos António Fernandes,1003396569.0
70373619,Fiel Domingos Constantino,1082902869.0
70373705,Abraão Gourgel,1080440646.0
59125160,Maria Monteiro Jardin,1095470855.0
70373537,José da Rocha,1094974511.0
59144052,Mateus de Brito Júnior,1054271575.0
15020148,Kambamba Kulaxingo,1093124425.0
59146755,Abel Xavier Nzuzi Lubota,1080325199.0
11645534,David Mendes,1024544204.0
59144241,Fernando Faustino Muteka,1079490106.0
57583596,José Ndele,1101583647.0
15350356,Daniel Ntongi-Nzinga,848334573.0
71908101,Pedro Tonho Pedale,1113903559.0
12740205,Elias Salupeto Pena,994023688.0
70373806,Pinda Simão,1115384278.0
57651944,Johnny Eduardo Pinnock,992923654.0
59124543,Santana André Pitra,886771177.0
59124604,José Aníbal Lopes Rocha,985054758.0
71062374,Luís Gomes Sambo,1114131425.0
41153135,José Filomeno dos Santos,1111269228.0
264097,Jonas Savimbi,1110987217.0
