date,order_code,Face_Masks_Required_in_Public,Source_of_Action,Citation,COUNTYFP,1845,index,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
2020-08-07,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,21014,1775,0.02,0.014,0.053,0.151,0.762
2020-08-08,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,21075,1775,0.02,0.014,0.053,0.151,0.762
2020-08-09,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,21120,1775,0.02,0.014,0.053,0.151,0.762
2020-08-10,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,21159,1775,0.02,0.014,0.053,0.151,0.762
2020-08-11,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,21202,1775,0.02,0.014,0.053,0.151,0.762
2020-08-12,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,21241,1775,0.02,0.014,0.053,0.151,0.762
2020-08-13,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,21285,1775,0.02,0.014,0.053,0.151,0.762
2020-08-14,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,21406,1775,0.02,0.014,0.053,0.151,0.762
2020-08-15,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,21471,1775,0.02,0.014,0.053,0.151,0.762
2020-08-16,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,21548,1775,0.02,0.014,0.053,0.151,0.762
2020-08-17,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,21635,1775,0.02,0.014,0.053,0.151,0.762
2020-08-18,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,21664,1775,0.02,0.014,0.053,0.151,0.762
2020-08-19,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,21671,1775,0.02,0.014,0.053,0.151,0.762
2020-08-20,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,21631,1775,0.02,0.014,0.053,0.151,0.762
2020-08-21,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,21652,1775,0.02,0.014,0.053,0.151,0.762
2020-08-22,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,21687,1775,0.02,0.014,0.053,0.151,0.762
