,date,order_code,Face_Masks_Required_in_Public,Source_of_Action,Citation,COUNTYFP,confirmed_cases,index,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,rate
160,2020-09-17,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22564,1775,0.02,0.014,0.053,0.151,0.762,32.1
161,2020-09-18,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22598,1775,0.02,0.014,0.053,0.151,0.762,32.0
162,2020-09-19,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22624,1775,0.02,0.014,0.053,0.151,0.762,31.6
163,2020-09-20,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22648,1775,0.02,0.014,0.053,0.151,0.762,31.6
164,2020-09-21,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22686,1775,0.02,0.014,0.053,0.151,0.762,31.7
165,2020-09-22,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22748,1775,0.02,0.014,0.053,0.151,0.762,36.3
166,2020-09-23,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22780,1775,0.02,0.014,0.053,0.151,0.762,35.6
167,2020-09-24,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22818,1775,0.02,0.014,0.053,0.151,0.762,36.1
168,2020-09-25,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22847,1775,0.02,0.014,0.053,0.151,0.762,38.0
169,2020-09-26,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22883,1775,0.02,0.014,0.053,0.151,0.762,38.2
170,2020-09-27,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22931,1775,0.02,0.014,0.053,0.151,0.762,36.7
171,2020-09-28,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,22975,1775,0.02,0.014,0.053,0.151,0.762,37.7
172,2020-09-29,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,23014,1775,0.02,0.014,0.053,0.151,0.762,39.0
173,2020-09-30,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,23061,1775,0.02,0.014,0.053,0.151,0.762,41.3
174,2020-10-01,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,23133,1775,0.02,0.014,0.053,0.151,0.762,44.7
175,2020-10-02,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,23191,1775,0.02,0.014,0.053,0.151,0.762,44.3
176,2020-10-03,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,23256,1775,0.02,0.014,0.053,0.151,0.762,47.6
177,2020-10-04,1,Yes,Official,"N. J. Exec. Order 163 (July 8, 2020)",34003,23300,1775,0.02,0.014,0.053,0.151,0.762,48.2
